patient id,name,hotel_name,country of origin,review_text,rating,nights_of_stay
1,James,The Grand Resort Hotel,USA,The staff was incredibly friendly and helpful. The breakfast buffet had a wide variety of delicious options.,9.5,5
2,Mary,The Grand Resort Hotel,UK,"The room was spacious, clean, and had a beautiful view. The Wi-Fi in the room was a bit slow at times.",8.2,3
3,John,The Grand Resort Hotel,Canada,The pool area was stunning and very relaxing. The bed was one of the most comfortable I've ever slept in. The check-in process was a little slow.,7.8,7
4,Patricia,The Grand Resort Hotel,Australia,"The location is perfect, right on the beach.",9.8,2
5,Robert,The Grand Resort Hotel,Germany,The concierge gave us some excellent recommendations for local restaurants. A truly luxurious experience from start to finish.,9.9,10
6,Jennifer,The Grand Resort Hotel,France,The spa services were top-notch. The prices at the hotel bar were quite high.,7.5,4
7,Michael,The Grand Resort Hotel,Spain,We will definitely be coming back here on our next trip. The air conditioning was a little noisy.,8.1,6
8,Linda,The Grand Resort Hotel,Italy,"The staff was incredibly friendly and helpful. The room was spacious, clean, and had a beautiful view. The walls were a bit thin, and we could hear our neighbors.",7.2,1
9,William,The Grand Resort Hotel,Japan,The breakfast buffet had a wide variety of delicious options. The pool area was stunning and very relaxing.,9.6,9
10,Elizabeth,The Grand Resort Hotel,China,"The location is perfect, right on the beach. The minibar was not restocked daily.",8.0,3
11,James,The Grand Resort Hotel,USA,The bed was one of the most comfortable I've ever slept in. The gym was a bit small and crowded.,7.9,8
12,Mary,The Grand Resort Hotel,UK,The spa services were top-notch. A truly luxurious experience from start to finish.,9.7,2
13,John,The Grand Resort Hotel,Canada,The staff was incredibly friendly and helpful. The elevators were often busy.,8.4,11
14,Patricia,The Grand Resort Hotel,Australia,"The room was spacious, clean, and had a beautiful view. The TV in the room didn't have many channels.",7.6,1
15,Robert,The Grand Resort Hotel,Germany,The breakfast buffet had a wide variety of delicious options. The pool area was stunning and very relaxing. The prices at the hotel bar were quite high.,8.8,12
16,Jennifer,The Grand Resort Hotel,France,"The location is perfect, right on the beach. The check-in process was a little slow.",8.3,5
17,Michael,The Grand Resort Hotel,Spain,The concierge gave us some excellent recommendations for local restaurants. The air conditioning was a little noisy.,7.7,7
18,Linda,The Grand Resort Hotel,Italy,"The bed was one of the most comfortable I've ever slept in. The walls were a bit thin, and we could hear our neighbors.",7.1,3
19,William,The Grand Resort Hotel,Japan,The spa services were top-notch. The minibar was not restocked daily.,8.5,10
20,Elizabeth,The Grand Resort Hotel,China,A truly luxurious experience from start to finish. The gym was a bit small and crowded.,8.2,4
21,James,The Grand Resort Hotel,USA,The staff was incredibly friendly and helpful. The elevators were often busy.,8.6,6
22,Mary,The Grand Resort Hotel,UK,"The room was spacious, clean, and had a beautiful view. The TV in the room didn't have many channels.",7.8,1
23,John,The Grand Resort Hotel,Canada,The breakfast buffet had a wide variety of delicious options. The prices at the hotel bar were quite high.,8.9,13
24,Patricia,The Grand Resort Hotel,Australia,The pool area was stunning and very relaxing. The check-in process was a little slow.,8.7,2
25,Robert,The Grand Resort Hotel,Germany,"The location is perfect, right on the beach. The air conditioning was a little noisy.",8.0,14
26,Jennifer,The Grand Resort Hotel,France,"The concierge gave us some excellent recommendations for local restaurants. The walls were a bit thin, and we could hear our neighbors.",7.3,6
27,Michael,The Grand Resort Hotel,Spain,The bed was one of the most comfortable I've ever slept in. The minibar was not restocked daily.,8.1,8
28,Linda,The Grand Resort Hotel,Italy,The spa services were top-notch. The gym was a bit small and crowded.,7.9,4
29,William,The Grand Resort Hotel,Japan,A truly luxurious experience from start to finish. The elevators were often busy.,8.8,11
30,Elizabeth,The Grand Resort Hotel,China,The staff was incredibly friendly and helpful. The TV in the room didn't have many channels.,8.2,5
31,James,The Grand Resort Hotel,USA,"The room was spacious, clean, and had a beautiful view. The prices at the hotel bar were quite high.",8.4,7
32,Mary,The Grand Resort Hotel,UK,The breakfast buffet had a wide variety of delicious options. The check-in process was a little slow.,8.9,3
33,John,The Grand Resort Hotel,Canada,The pool area was stunning and very relaxing. The air conditioning was a little noisy.,8.3,12
34,Patricia,The Grand Resort Hotel,Australia,"The location is perfect, right on the beach. The walls were a bit thin, and we could hear our neighbors.",7.5,1
35,Robert,The Grand Resort Hotel,Germany,The concierge gave us some excellent recommendations for local restaurants. The minibar was not restocked daily.,8.6,13
36,Jennifer,The Grand Resort Hotel,France,The bed was one of the most comfortable I've ever slept in. The gym was a bit small and crowded.,8.0,7
37,Michael,The Grand Resort Hotel,Spain,The spa services were top-notch. The elevators were often busy.,8.7,9
38,Linda,The Grand Resort Hotel,Italy,A truly luxurious experience from start to finish. The TV in the room didn't have many channels.,8.4,5
39,William,The Grand Resort Hotel,Japan,The staff was incredibly friendly and helpful. The prices at the hotel bar were quite high.,8.8,12
40,Elizabeth,The Grand Resort Hotel,China,"The room was spacious, clean, and had a beautiful view. The check-in process was a little slow.",9.0,6
41,James,The Grand Resort Hotel,USA,The breakfast buffet had a wide variety of delicious options. The air conditioning was a little noisy.,8.5,8
42,Mary,The Grand Resort Hotel,UK,"The pool area was stunning and very relaxing. The walls were a bit thin, and we could hear our neighbors.",7.7,4
43,John,The Grand Resort Hotel,Canada,"The location is perfect, right on the beach. The minibar was not restocked daily.",8.7,13
44,Patricia,The Grand Resort Hotel,Australia,The concierge gave us some excellent recommendations for local restaurants. The gym was a bit small and crowded.,8.1,2
45,Robert,The Grand Resort Hotel,Germany,The bed was one of the most comfortable I've ever slept in. The elevators were often busy.,8.9,14
46,Jennifer,The Grand Resort Hotel,France,The spa services were top-notch. The TV in the room didn't have many channels.,8.5,8
47,Michael,The Grand Resort Hotel,Spain,A truly luxurious experience from start to finish. The prices at the hotel bar were quite high.,9.1,10
48,Linda,The Grand Resort Hotel,Italy,The staff was incredibly friendly and helpful. The check-in process was a little slow.,9.2,6
49,William,The Grand Resort Hotel,Japan,"The room was spacious, clean, and had a beautiful view. The air conditioning was a little noisy.",8.6,13
50,Elizabeth,The Grand Resort Hotel,China,"The breakfast buffet had a wide variety of delicious options. The walls were a bit thin, and we could hear our neighbors.",7.9,7
51,James,The Grand Resort Hotel,USA,The pool area was stunning and very relaxing. The minibar was not restocked daily.,8.8,9
52,Mary,The Grand Resort Hotel,UK,"The location is perfect, right on the beach. The gym was a bit small and crowded.",8.2,5
53,John,The Grand Resort Hotel,Canada,The concierge gave us some excellent recommendations for local restaurants. The elevators were often busy.,9.0,14
54,Patricia,The Grand Resort Hotel,Australia,The bed was one of the most comfortable I've ever slept in. The TV in the room didn't have many channels.,8.6,3
55,Robert,The Grand Resort Hotel,Germany,The spa services were top-notch. The prices at the hotel bar were quite high.,9.2,1
56,Jennifer,The Grand Resort Hotel,France,A truly luxurious experience from start to finish. The check-in process was a little slow.,9.3,9
57,Michael,The Grand Resort Hotel,Spain,The staff was incredibly friendly and helpful. The air conditioning was a little noisy.,8.7,11
58,Linda,The Grand Resort Hotel,Italy,"The room was spacious, clean, and had a beautiful view. The walls were a bit thin, and we could hear our neighbors.",8.0,7
59,William,The Grand Resort Hotel,Japan,The breakfast buffet had a wide variety of delicious options. The minibar was not restocked daily.,8.9,14
60,Elizabeth,The Grand Resort Hotel,China,The pool area was stunning and very relaxing. The gym was a bit small and crowded.,8.3,8
61,James,The Grand Resort Hotel,USA,"The location is perfect, right on the beach. The elevators were often busy.",9.1,10
62,Mary,The Grand Resort Hotel,UK,The concierge gave us some excellent recommendations for local restaurants. The TV in the room didn't have many channels.,8.7,6
63,John,The Grand Resort Hotel,Canada,The bed was one of the most comfortable I've ever slept in. The prices at the hotel bar were quite high.,9.3,1
64,Patricia,The Grand Resort Hotel,Australia,The spa services were top-notch. The check-in process was a little slow.,9.4,4
65,Robert,The Grand Resort Hotel,Germany,A truly luxurious experience from start to finish. The air conditioning was a little noisy.,8.8,2
66,Jennifer,The Grand Resort Hotel,France,"The staff was incredibly friendly and helpful. The walls were a bit thin, and we could hear our neighbors.",8.1,10
67,Michael,The Grand Resort Hotel,Spain,"The room was spacious, clean, and had a beautiful view. The minibar was not restocked daily.",9.0,12
68,Linda,The Grand Resort Hotel,Italy,The breakfast buffet had a wide variety of delicious options. The gym was a bit small and crowded.,8.4,8
69,William,The Grand Resort Hotel,Japan,The pool area was stunning and very relaxing. The elevators were often busy.,9.2,1
70,Elizabeth,The Grand Resort Hotel,China,"The location is perfect, right on the beach. The TV in the room didn't have many channels.",8.8,9
71,James,The Grand Resort Hotel,USA,The concierge gave us some excellent recommendations for local restaurants. The prices at the hotel bar were quite high.,9.4,11
72,Mary,The Grand Resort Hotel,UK,The bed was one of the most comfortable I've ever slept in. The check-in process was a little slow.,9.5,7
73,John,The Grand Resort Hotel,Canada,The spa services were top-notch. The air conditioning was a little noisy.,8.9,2
74,Patricia,The Grand Resort Hotel,Australia,"A truly luxurious experience from start to finish. The walls were a bit thin, and we could hear our neighbors.",8.2,5
75,Robert,The Grand Resort Hotel,Germany,The staff was incredibly friendly and helpful. The minibar was not restocked daily.,9.1,3
76,Jennifer,The Grand Resort Hotel,France,"The room was spacious, clean, and had a beautiful view. The gym was a bit small and crowded.",8.5,11
77,Michael,The Grand Resort Hotel,Spain,The breakfast buffet had a wide variety of delicious options. The elevators were often busy.,9.3,13
78,Linda,The Grand Resort Hotel,Italy,The pool area was stunning and very relaxing. The TV in the room didn't have many channels.,8.9,9
79,William,The Grand Resort Hotel,Japan,"The location is perfect, right on the beach. The prices at the hotel bar were quite high.",9.5,2
80,Elizabeth,The Grand Resort Hotel,China,The concierge gave us some excellent recommendations for local restaurants. The check-in process was a little slow.,9.6,10
81,James,The Grand Resort Hotel,USA,The bed was one of the most comfortable I've ever slept in. The air conditioning was a little noisy.,9.0,12
82,Mary,The Grand Resort Hotel,UK,"The spa services were top-notch. The walls were a bit thin, and we could hear our neighbors.",8.3,8
83,John,The Grand Resort Hotel,Canada,A truly luxurious experience from start to finish. The minibar was not restocked daily.,9.2,3
84,Patricia,The Grand Resort Hotel,Australia,The staff was incredibly friendly and helpful. The gym was a bit small and crowded.,8.6,6
85,Robert,The Grand Resort Hotel,Germany,"The room was spacious, clean, and had a beautiful view. The elevators were often busy.",9.4,4
86,Jennifer,The Grand Resort Hotel,France,The breakfast buffet had a wide variety of delicious options. The TV in the room didn't have many channels.,9.0,12
87,Michael,The Grand Resort Hotel,Spain,The pool area was stunning and very relaxing. The prices at the hotel bar were quite high.,9.6,14
88,Linda,The Grand Resort Hotel,Italy,"The location is perfect, right on the beach. The check-in process was a little slow.",9.7,10
89,William,The Grand Resort Hotel,Japan,The concierge gave us some excellent recommendations for local restaurants. The air conditioning was a little noisy.,9.1,3
90,Elizabeth,The Grand Resort Hotel,China,"The bed was one of the most comfortable I've ever slept in. The walls were a bit thin, and we could hear our neighbors.",8.4,11
91,James,The Grand Resort Hotel,USA,The spa services were top-notch. The minibar was not restocked daily.,9.3,13
92,Mary,The Grand Resort Hotel,UK,A truly luxurious experience from start to finish. The gym was a bit small and crowded.,8.7,9
93,John,The Grand Resort Hotel,Canada,The staff was incredibly friendly and helpful. The elevators were often busy.,9.5,4
94,Patricia,The Grand Resort Hotel,Australia,"The room was spacious, clean, and had a beautiful view. The TV in the room didn't have many channels.",9.1,7
95,Robert,The Grand Resort Hotel,Germany,The breakfast buffet had a wide variety of delicious options. The prices at the hotel bar were quite high.,9.7,5
96,Jennifer,The Grand Resort Hotel,France,The pool area was stunning and very relaxing. The check-in process was a little slow.,9.8,13
97,Michael,The Grand Resort Hotel,Spain,"The location is perfect, right on the beach. The air conditioning was a little noisy.",9.2,1
98,Linda,The Grand Resort Hotel,Italy,"The concierge gave us some excellent recommendations for local restaurants. The walls were a bit thin, and we could hear our neighbors.",8.5,11
99,William,The Grand Resort Hotel,Japan,The bed was one of the most comfortable I've ever slept in. The minibar was not restocked daily.,9.4,4
100,Elizabeth,The Grand Resort Hotel,China,The spa services were top-notch. The gym was a bit small and crowded.,8.8,12
